iteration,node_id,radius,theta_rad,theta_deg,ring_type
2,37,3.0,2.88653795007123,165.3864419434258,inner
2,12,5.0,3.1241392393267886,178.9999930246364,outer
3,0,5.0,0.0174534580258861,1.0000094827920103,outer
3,1,5.0,0.2465839422052438,14.128219184058285,outer
3,14,4.0,0.246583943145705,14.12821923794274,middle
3,27,3.0,0.2465839440086385,14.128219287385193,inner
3,2,5.0,0.5089240877327659,29.15920231963312,outer
3,15,4.0,0.5089240886618963,29.15920237286837,middle
3,28,3.0,0.5089240895465977,29.15920242355803,inner
3,3,5.0,0.7657212728993613,43.87259722051854,outer
3,16,4.0,0.7657212738466018,43.87259727479143,middle
3,29,3.0,0.7657212747521377,43.872597326674814,inner
3,4,5.0,1.0320153768228442,59.130125484552245,outer
3,17,4.0,1.0320153777639225,59.13012553847205,middle
